userName,score,at,content,sumber_bank,teks_bersih
Pengguna Google,5,2026-02-25 15:16:34,sering keluar sendiri apk nya,BCA,sering keluar sendiri aplikasi nya
Pengguna Google,5,2026-02-25 14:20:58,Baik,BCA,bagus
Pengguna Google,3,2026-02-25 12:56:16,ini mbanking BCA kenapa sih susah banget mau aktifinnya dah coba beberapa kali sampe pulsa habis bolak balik minta no kartu ATM terus ga bisa2,BCA,mobile banking bank central asia partikel sulit sangat aktifinnya coba beberapa kali sampe pulsa tertawa bolak balik minta tidak_kartu kemudian tidak_bisa2
Pengguna Google,1,2026-02-25 12:52:18,bener² kecewa sama BCA suka tiba² keluar dari aplikasi m banking ny mau masuk lagi susah uang saya ketahan di m banking login berkali² pake data roaming gak bisa wifi gak bisa,BCA,bener2 kecewa sama bank central asia suka tiba2 keluar aplikasi m banking ny hasil sulit uang tahan m banking login berkali2 pake data roaming tidak_dapat wifi tidak_dapat
Pengguna Google,5,2026-02-25 12:37:56,aplikasinya lengkap dan kecepatan kirim data nya cepat,BCA,aplikasi lengkap cepat kirim data nya cepat
Pengguna Google,1,2026-02-25 12:37:54,aplikasi yang menjengkelkan sudah pakai pulsa. verivikasi gagal Mulu..,BCA,aplikasi jengkel pakai pulsa verivikasi gagal selalu
Pengguna Google,2,2026-02-25 11:43:13,saat ini terpaksa saya ubah bintangnya. sudah 3 hari saya tidak bisa menggunakan fitur QRIS. sehingga saya terpaksa harus tf dulu uang di rekening BCA ke dompet digital hanya agar dapat menggunakan QRIS.,BCA,paksa ubah bintang tertawa tidak_dapat guna fitur qr code indonesia standard paksa tertawa transfer lebih uang rekening bank central asia dompet digital tertawa guna qr code indonesia standard
Pengguna Google,5,2026-02-25 11:24:15,sangat membantu mitranya,BCA,sangat bantu mitra
Pengguna Google,4,2026-02-25 11:18:04,makin k3sini makin ga jelas. aplikasi notif merah terus. ga bisa dipake kalau urgent. lambat,BCA,makin k3sini makin tidak_jelas aplikasi notif merah kemudian tidak_dapat dipake penting lambat
Pengguna Google,5,2026-02-25 11:04:00,sangat mempermudah transaksi,BCA,sangat mudah transaksi
Pengguna Google,3,2026-02-25 10:51:14,"aplikasinya ga bisa di pakai buat transaksi, baru buka aplikasi langsung bilang error lah, ga bisa transaksi, jaringan gak ada yang bermasalah padahal semuanya udh bener.",BCA,aplikasi tidak_dapat pakai transaksi new buka aplikasi segera bilang error partikel tidak_dapat transaksi jaring tidak_ada masalah padahal semua benar
Pengguna Google,5,2026-02-25 10:18:48,"sangat membantu saya, semoga selalu amanah ya",BCA,sangat bantu moga selalu percaya
Pengguna Google,1,2026-02-25 10:18:23,"gua mau login woooiii!!!! padahal cuma ganti nomer hp, tapi malah gak masuk masuk. centang yg atas, bawah, atas, bawah gak kelar kelar njir",BCA,login woi padahal ganti nomer handphone malah tidak_berhasil hasil centang atas bawah atas bawah tidak_kelar kelar njir
Pengguna Google,1,2026-02-25 09:04:59,"aplikasi kentang padahal udah login tiba""sering ke logout sendiri suruh verifikasi SMS lagi buang"" pulsa",BCA,aplikasi kentang padahal login tiba sering logout sendiri suruh verifikasi sms buang pulsa
Pengguna Google,4,2026-02-25 09:03:15,"kenapa yah QR di mbanking tidak bisa di pakai, hanya loading aja, padahal SDH update dan juga data internet stabil, knapa yh?",BCA,yah qr code mobile banking tidak_dapat pakai tertawa loading padahal baru data internet stabil knapa yh
Pengguna Google,1,2026-02-25 08:51:26,"dari awal februari 2026 sampe akhir februari 2026 tiap lagi buka""sementara transaksi tidak dapat di proses silahkan coba beberapa saat lagi"", padahal dah di update dah di coba terus",BCA,awal februari sampe akhir februari tiap buka transaksi tidak_dapat proses silah coba beberapa padahal baru coba kemudian
Pengguna Google,4,2026-02-25 07:21:28,"tolong tambahkan fitur finger print ketika ingin masuk ke aplikasi, supaya dapat mempersingkat waktu ketika ingin melakukan pembayaran via qris dan memudahkan pengguna jika hanya ingin sekadar mengecek sisa saldo",BCA,bantu tambah fitur finger print hasil aplikasi singkat waktu laku bayar via qr code indonesia standard mudah guna tertawa sekadar ecek sisa saldo
Pengguna Google,5,2026-02-25 05:19:51,sangat memuaskan...layanan BCA hebat,BCA,sangat muas layan bank central asia tertawa
Pengguna Google,1,2026-02-25 03:36:35,"Qrisnya buka lemottt bangettt di buka, udah coba dua kali - tiga kali, pdhl jaringan wifi sama paket data aman, sama gaada notifikasi uang masuk, itu jarang banget dapet notif. Tolong segera di perbaiki🙏🏻",BCA,qrisnya buka lambat sangat buka coba kali tiga kali pdhl jaring wifi sama paket data aman sama gaada notifikasi uang hasil jarang sangat dapet notif bantu cepat baik
Pengguna Google,1,2026-02-25 03:35:05,lemot,BCA,lambat
Pengguna Google,5,2026-02-25 02:18:56,bagus pelayanan,BCA,baik layan
Pengguna Google,3,2026-02-25 01:59:50,jni kenapa dah bca merah terus padahal sinyal bagus sampe ku bukan yt bagus ini gak bisa di buka transaksi merah mulu parah,BCA,jni bank central asia merah kemudian padahal sinyal baik sampe ku bukan_yt baik tidak_dapat buka transaksi merah selalu banget
Pengguna Google,5,2026-02-25 01:06:42,nyaman banget pake bank BCA,BCA,nyaman sangat pake bank bank central asia
Pengguna Google,1,2026-02-25 00:50:58,jaringan stabil tapi menyala merah24jam..sangat bagus sekali..👍👎👎,BCA,jaring stabil nyala merah24jam sangat baik sangat
Pengguna Google,1,2026-02-25 00:09:44,ko sekarang suka eror merah terus terus kalo buka app loding lama kek berat banget,BCA,ko skrg suka error merah kemudian kemudian buka aplikasi loding lambat kek berat sangat
Pengguna Google,2,2026-02-25 00:06:07,bisa gasi verfinya pake SMS aja jadinya susah,BCA,gas verfinya pake sms jadi sulit
Pengguna Google,1,2026-02-24 22:58:30,INI BCA KENAPA MASUK BERKALI KALI GABISA...,BCA,bank central asia hasil kali kali tidak_bisa
Pengguna Google,5,2026-02-24 22:38:26,bolak balik instal terus parah,BCA,bolak balik pasang kemudian banget
Pengguna Google,1,2026-02-24 21:23:32,"gila ini bank BCA saldo gua blom juga di balikin kacau, karyawan BCA lelet bener kinerjanya kaya di sepelekan banget, yu kompakin lahh yg sama kaya gua mending pindah bank saja percuma di sepelekan kaya ga punya dosa ini BCA",BCA,gila bank bank central asia saldo blom balikin kacau karyawan bank central asia lambat benar kerja sepele sangat yu kompakin lah sama mending pindah bank percuma sepele tidak_punya dosa bank central asia
Pengguna Google,5,2026-02-24 21:05:49,"dibandingkanndgn beberapa Bank, BCA pengalaman sulit dibobol, administrasi meski panjang namun teliti dan tepat sesuai dgn tulisan.Semoga bisa dipertahankan bahkan bila mungkin ditingkatkan. Saran : sebaiknya tiap tahun baru ada tanda kasih ke konsumen, misal pembagian kalender.thanks",BCA,dibandingkanndgn beberapa bank bank central asia alam sulit bobol administrasi meski panjang teliti tepat sesuai tulis moga tahan bahkan bila mungkin tingkat saran baik tiap tahun new tanda kasih konsumen contoh bagi kalender thanks
Pengguna Google,3,2026-02-24 20:07:58,cm karena salah kTifkan simcard. skrg mbca otomatis putus koneksi. login lg ga bisa ceklis di awal panduan buka nca mobile. g tahu knapa,BCA,keliru ktifkan simcard skrg mbca otomatis putus koneksi login tidak_dapat ceklis awal pandu buka nca mobile tahu knapa
Pengguna Google,3,2026-02-24 19:57:31,saya pengguna bca tahun 2021 kenapa sekrang untuk bayar qris tranfernya sering gagal dan lemot mohon untuk diperbaikin lg aplikasinya,BCA,guna bank central asia tahun sekrang bayar qr code indonesia standard tranfernya sering gagal lambat mohon diperbaikin aplikasi
Pengguna Google,5,2026-02-24 19:30:07,sangat bangus,BCA,sangat bangus
Pengguna Google,5,2026-02-24 19:18:38,"simple sih,cuma notifnya kok ngga ada jadi bolak balik liat mutasi",BCA,simple partikel notifnya tidak_ada jadi bolak balik liat mutasi rekening
Pengguna Google,5,2026-02-24 18:15:54,keren bca,BCA,keren bank central asia
Pengguna Google,5,2026-02-24 17:47:47,mantaaap,BCA,mantap
Pengguna Google,1,2026-02-24 17:47:14,"apk gajelas dalam sebulan beberapa kali kartu sim ga terrecord sampe harus verif lewat pulsa terus, kecewa",BCA,aplikasi gajelas bulan beberapa kali kartu sim tidak_terrecord sampe tertawa verifikasi lewat pulsa kemudian kecewa
Pengguna Google,1,2026-02-24 17:10:26,bca ngapa sekarang lemot banget ya mau Qris doang nunggunya bermenit menit ngapain jga si segala ada indikator lampu segala malahan biru bae gamau ijo padahal sinyal bagus,BCA,bank central asia ngapa skrg lambat sangat qr code indonesia standard doang nunggunya menit menit laku si segala indikator lampu segala malah biru bae tidak_mau ijo padahal sinyal baik
Pengguna Google,1,2026-02-24 15:45:09,KENAPA PEMOTONGAN TIDAK ADA DI MUTASI REKENING ? SALDO TIBA2 HILANG RP16000,BCA,potong tidak_ada mutasi rekening rekening saldo tiba2 tertawa rp16000
Pengguna Google,5,2026-02-24 14:11:26,mantap,BCA,mantap
Pengguna Google,3,2026-02-24 13:53:30,"m banking BCA saya sering sekali harus melakukan verifikasi ulang, dan setiap verifikasi saya TerPotongan biaya admin.",BCA,m banking bank central asia sering sangat tertawa laku verifikasi ulang verifikasi potong biaya biaya administrasi
Pengguna Google,1,2026-02-24 12:48:17,"mau login di hp baru sms boak balik gak clear2 juga,, gak beres",BCA,login handphone new sms boak balik tidak_clear2 tidak_beres
Pengguna Google,5,2026-02-24 10:45:06,josjis,BCA,josjis
Pengguna Google,1,2026-02-24 08:39:01,loo jangan ngimpi punya hadiah hp atau mercy! loo diliat dari saldo duit loo bukan dari kupon! kalo loo miskin jangan ngarep!,BCA,loo jangan_ngimpi punya tertawa handphone mercy loo liat saldo duit loo bukan_dari kupon loo miskin jangan_ngarep
Pengguna Google,5,2026-02-24 04:37:18,aman dan mudah,BCA,aman mudah
Pengguna Google,4,2026-02-24 02:49:23,Jaya terus BCA,BCA,jaya kemudian bank central asia
Pengguna Google,5,2026-02-24 02:04:21,Mantap Kalau Pake BCA Mobile . Transfer Jadi Mudah,BCA,mantap pake bank central asia mobile transfer jadi mudah
Pengguna Google,1,2026-02-24 01:27:00,"tiap dari jam 11 sampai jam jam 2 malam ini susah login mulu. sinyal bagus tapi akses login lambat aneh, perlu upgrade ni development nya",BCA,tiap jam jam jam malam sulit login selalu sinyal baik akses login lambat aneh perlu baru ni development nya
Pengguna Google,5,2026-02-23 23:54:30,sangat baik,BCA,sangat bagus
Pengguna Google,3,2026-02-23 22:50:50,lemot banget kenapa ya?? indikatornya lamaaa bgtt dpt ijo nya. load nya jg lamaaaa. jd lumayan terganggu kl lagi transaksi online,BCA,lambat sangat indikator lambat banget dpt ijo nya load nya lambat jadi lumayan ganggu transaksi aktif
Pengguna Google,5,2026-02-23 22:25:51,setelah perangkat di flash ulang apk BCA bisa diinstal tidak bisa di buka,BCA,abis perangkat flash ulang aplikasi bank central asia diinstal tidak_dapat buka
Pengguna Google,1,2026-02-23 22:13:41,ampas verifikasi wajah gagal Mulu konyol,BCA,ampas verifikasi wajah gagal selalu konyol
Pengguna Google,5,2026-02-23 21:50:41,top,BCA,top
Pengguna Google,5,2026-02-23 21:28:46,puas,BCA,puas
Pengguna Google,2,2026-02-23 21:14:18,Kok tidak bisa dwonload skrang m bca Internet sdah ada,BCA,tidak_dapat dwonload skrang m bank central asia internet sdah
Pengguna Google,5,2026-02-23 20:19:57,baik aplikasinya,BCA,bagus aplikasi
Pengguna Google,5,2026-02-23 20:14:36,sangat membantu thx.,BCA,sangat bantu terima kasih
Pengguna Google,5,2026-02-23 19:53:50,Bagus,BCA,baik
Pengguna Google,4,2026-02-23 19:12:43,👍👍👍,BCA,
Pengguna Google,1,2026-02-23 18:32:19,makin aneh nih BCA tiba2 dapet admin 10k pula udh mahal bikin ribet mau transfer atau ngirim harus ke kantor bank atau hubungi 1500888 makin ribet kan mahal pula adminnya kecewa berat ga bisa bayar kl mau bayar harus aktifkan finansial hubungi ini itu,BCA,makin aneh nih bank central asia tiba2 dapet biaya administrasi 10k mahal bikin rumit transfer ngirim tertawa kantor bank hubung makin rumit kan mahal adminnya kecewa berat tidak_dapat bayar bayar tertawa aktif finansial hubung
Pengguna Google,5,2026-02-23 17:37:40,TRIMKASIH,BCA,trimkasih
Pengguna Google,5,2026-02-23 16:39:37,okee,BCA,okee
Pengguna Google,1,2026-02-23 16:23:10,sering keluar sendiri,BCA,sering keluar sendiri
Pengguna Google,5,2026-02-23 15:33:20,lumayan sangat membantu kebutuhan finansial pribadi rakyat indonesia 🏦,BCA,lumayan sangat bantu butuh finansial pribadi rakyat indonesia
Pengguna Google,5,2026-02-23 14:41:54,mantab. salam demokrasi,BCA,mantab salam demokrasi
Pengguna Google,1,2026-02-23 12:50:08,sudah sebulan aplikasi BCA mobile ini tidak saya gunakan harus vrifikasi wajah ada ada aja haduuhh parah.,BCA,bulan aplikasi bank central asia mobile tidak_saya guna tertawa vrifikasi wajah tertawa banget
Pengguna Google,1,2026-02-23 12:25:39,sms tidak bisa dikirim,BCA,sms tidak_dapat kirim
Pengguna Google,1,2026-02-23 11:06:26,ngak suka tiba tiba uang hilang aja di disedot sama bca 1 bulan smpe 2 kali mulai dri 40k trus 15k,BCA,ngak suka tiba tiba uang tertawa sedot sama bank central asia bulan smpe kali gas dri 40k kemudian 15k
Pengguna Google,1,2026-02-23 11:04:52,log in ga bisa terus pdhl udh diulang berkali kali. Mana SMS jg bayar udah berkali kalo 😴😪,BCA,log in tidak_dapat kemudian pdhl ulang kali kali mana sms bayar kali
Pengguna Google,5,2026-02-23 08:36:44,Menabung di BCA aman dan terjamin,BCA,tabung bank central asia aman jamin
Pengguna Google,3,2026-02-23 07:38:05,IRES lambat,BCA,ires lambat
Pengguna Google,5,2026-02-23 07:10:45,bca ter bagus,BCA,bank central asia ter baik
Pengguna Google,1,2026-02-23 00:57:30,aplikasi busuk sinyal aman tapi merah mulu,BCA,aplikasi busuk sinyal aman merah selalu
Pengguna Google,5,2026-02-23 00:53:26,Terimakasih sangat membantu,BCA,terimakasih sangat bantu
Pengguna Google,5,2026-02-23 00:46:49,makasih,BCA,makasih
Pengguna Google,1,2026-02-23 00:31:23,mau login aja susah,BCA,login sulit
Pengguna Google,5,2026-02-22 23:40:21,nice,BCA,nice
Pengguna Google,5,2026-02-22 22:42:54,mantap sangat membantu,BCA,mantap sangat bantu
Pengguna Google,5,2026-02-22 22:35:35,KEREN,BCA,keren
Pengguna Google,1,2026-02-22 19:46:19,mau masuk aplikasinya aja harus masukin no rekening nya,BCA,hasil aplikasi tertawa masukin tidak_rekening nya
Pengguna Google,5,2026-02-22 19:09:37,aduh mahal banyakkk BNK ada buat teman,BCA,aduh mahal banyak bnk teman
Pengguna Google,2,2026-02-22 18:41:14,sudah dari tanggal 18 ga bisa login padahal sinyal bagus. baru ini sih setelah sekian lama pemakaian.,BCA,tanggal tidak_dapat login padahal sinyal baik new partikel abis sekian lambat pakai
Pengguna Google,2,2026-02-22 18:19:30,Mengapa BCA mbanking memotong atau mengambil 10.000 rupiah dari semua rekening nasabah pada tanggal 20 atau 21 febuari tanpa ada histori transaksi di mutasi rekening???,BCA,bank central asia mobile banking potong ambil rupiah semua rekening nasabah tanggal febuari tertawa transaksi mutasi rekening rekening
Pengguna Google,5,2026-02-22 18:13:44,oke sip,BCA,bagus bagus
Pengguna Google,3,2026-02-22 17:47:06,ini QR kenapa sulit sekali connect,BCA,qr code sulit sangat connect
Pengguna Google,1,2026-02-22 17:28:55,Tolong saya tidak bisa login ke akun bca saya,BCA,bantu tidak_dapat login akun bank central asia
Pengguna Google,5,2026-02-22 17:21:28,Kenapa sekarang baca sulit sekali setelah di update. Mau cek saldo harus verifikasi wajah dulu. Udah gitu deteksi wajahnya gagal Mulu. Kenapa sih harus begitu padahal pakai pin saja juga cukup. Kalau mau deteksi wajah harus di perbaiki lagi ai nya soalnya foto KTP itu waktu masih muda beda dengan yg sekarang.,BCA,skrg baca sulit sangat abis baru cek saldo tertawa verifikasi wajah lebih deteksi wajah gagal selalu partikel tertawa padahal pakai kode akses cukup deteksi wajah tertawa baik ai nya foto ktp waktu muda beda skrg
Pengguna Google,5,2026-02-22 17:09:43,"mantap""s",BCA,mantap s
Pengguna Google,5,2026-02-22 16:30:32,Sangat bermanfaat buat transfer dan menerima transferan,BCA,sangat manfaat transfer terima transfer
Pengguna Google,5,2026-02-22 12:26:47,good,BCA,good
Pengguna Google,1,2026-02-22 11:46:33,"potongannya banyak 18k , masa kirim 41 sisa saldo jdi 23k banyak bgt potongannya jdi males sm bca🤬🤬",BCA,potong banyak 18k masa kirim sisa saldo jadi 23k banyak sangat potong jadi males sama bank central asia
Pengguna Google,3,2026-02-22 05:02:46,saya topup 40.000kok masuknya cuma 20.000 liat mutasi gk ada yg kepotong tolong penjelasannya,BCA,isi ulang 000kok masuk liat mutasi rekening tidak_ada potong bantu jelas
Pengguna Google,5,2026-02-22 04:35:25,mudah dan praktis,BCA,mudah praktis
Pengguna Google,2,2026-02-22 03:12:33,"kenapa sekarang saldo sering kepotong ya, habis melakukan transaksi selang 2 3 hari kepotong biaya bulanan besoknya transaksi begitu lagi jadi males make, biasanya cuma 1bln sekali",BCA,skrg saldo sering potong tertawa laku transaksi selang tertawa potong biaya bulan besok transaksi jadi males make biasa 1bln sangat
Pengguna Google,1,2026-02-22 02:39:00,LAMPU MERAAAAHHHH WKWK,BCA,lampu merah tertawa
Pengguna Google,1,2026-02-22 02:01:41,"merah mulu, ngelag",BCA,merah selalu ngelag
Pengguna Google,5,2026-02-22 01:34:14,Terbaik,BCA,baik
Pengguna Google,1,2026-02-22 01:31:00,"paling ribet, paling rese, paling sulit di gunakan saat genting, jaringan nunggu hijau terus bhkn nunggu sampe 20 menit gak mau hijau,aplikasi sulit jaringan, gkbisakah kaya internet banking yg lain apa gk perlu sinyal warna. sering banget gua di bikin jengkel sama aplikasi ini, dasaraplikasi monyet",BCA,paling rumit paling rese paling sulit guna genting jaring nunggu tertawa kemudian bhkn nunggu sampe menit tidak_ingin tertawa aplikasi sulit jaring gkbisakah internet banking tidak_perlu sinyal warna sering sangat bikin jengkel sama aplikasi dasaraplikasi monyet
Pengguna Google,5,2026-02-21 23:49:10,"transaksi apapun jadi lebih mudah, sangat membantu 🙏🙏🙏🙏🙏",BCA,transaksi apa jadi lebih mudah sangat bantu
Pengguna Google,5,2026-02-21 23:08:58,bgus,BCA,bgus
Pengguna Google,5,2026-02-21 23:00:08,anazing,BCA,anazing
Pengguna Google,1,2026-02-21 22:19:14,"GAJE BGT NI APLIKASI, GUA UDH LOGIN BERKALI-KALI MASI AJA GABISA, GUA UDAH NGABISIN 20K BUAT ISI PULSA EH MALAH GABISA, ANEHHHH ANEHHH PERBAIKIN LAGI DEH!",BCA,gaje sangat ni aplikasi login kali kali mas tidak_bisa ngabisin 20k isi pulsa eh malah tidak_bisa aneh aneh perbaikin partikel
Pengguna Google,4,2026-02-21 22:08:02,👍,BCA,
Pengguna Google,2,2026-02-21 21:48:46,"makin di update makin ngelag aja nih aplikasi, aneh anehhh",BCA,makin baru makin ngelag nih aplikasi aneh aneh
Pengguna Google,5,2026-02-21 20:48:45,sangat bermanfaat,BCA,sangat manfaat
Pengguna Google,5,2026-02-21 19:25:16,memuaskan,BCA,muas
Pengguna Google,1,2026-02-21 19:18:46,kaga Nerima kode dari sms,BCA,tidak_nerima kode sms
Pengguna Google,1,2026-02-21 18:45:37,kepotong nya gede sm maen asal potong aja.,BCA,potong nya gede sama maen asal potong
Pengguna Google,1,2026-02-21 18:11:54,"Admin utk tahapan BCA yg gold kan 17rb.. kenapa harus dipotong lg 5rb..admin aplg.. tiap bln kelewat ketentuan,meras namanya bahlul",BCA,biaya administrasi tahap bank central asia gold kan 17rb tertawa potong 5rb biaya administrasi aplg tiap bln lewat tentu ras nama bahlul
Pengguna Google,1,2026-02-21 17:36:09,"lemor untuk transaksi, di tinggal ke aplikasi lain sebentar saja lampu indikator sudah biru/merah harus nunggu ke hijau lama sekali",BCA,lor transaksi tinggal aplikasi sedikit lampu indikator biru merah tertawa nunggu tertawa lambat sangat
Pengguna Google,1,2026-02-21 17:36:00,"Lelet, mau bayar buat qris lemotnya gk ketolong",BCA,lambat bayar qr code indonesia standard lot tidak_ketolong
Pengguna Google,1,2026-02-21 16:45:44,setiap ada transaksi masuk/keluar gak ada notifnya. terus tiba² aja gak ada notif juga kalo saldo berkurang buat admin/pengendapan.,BCA,transaksi hasil keluar tidak_ada notifnya kemudian tiba2 tidak_ada notif saldo kurang biaya administrasi endap
Pengguna Google,5,2026-02-21 15:40:49,🌟🌟🌟🌟🌟,BCA,
Pengguna Google,5,2026-02-21 15:14:37,sangat memuaskan,BCA,sangat muas
Pengguna Google,5,2026-02-21 14:16:17,keren,BCA,keren
Pengguna Google,5,2026-02-21 14:00:49,Selalu mudah digunakan dan tidak rumit.,BCA,selalu mudah guna tidak_ribet
Pengguna Google,5,2026-02-21 13:55:47,transaksi lebih cepat,BCA,transaksi lebih cepat
Pengguna Google,1,2026-02-21 13:38:57,bank ba bi.. main potong saldo aja Kon tolll,BCA,bank ba bi main potong saldo kon tol
Pengguna Google,1,2026-02-21 12:31:41,APK ELIT....lemot nya selangit...semakin lemot...apa lagi QR....lemot lagi...,BCA,aplikasi elit lambat nya langit makin lambat qr code lambat
