userName,score,at,content,sumber_bank,teks_bersih,label,label_code
Pengguna Google,1,2026-02-13 22:22:24,aplikasi jlek stiap kirim admin bisa 2.500 sesama bang gede bnget jdi untung yg dikirim kita stiap ngirim gitu trus mna saldo ilng mulu,BRI,aplikasi jlek stiap kirim biaya administrasi sama bang gede bnget jadi untung kirim stiap ngirim kemudian mna saldo ilng selalu,negative,0
Pengguna Google,1,2026-02-09 23:00:32,"setelah update buruk sekali, ga lagi-lagi pakai bank ini",BRI,abis baru jelek sangat tidak_lagi pakai bank,negative,0
Pengguna Google,1,2025-09-12 19:13:40,"INI GIMANA SIH SAYA MELAKUKAN PEMBAYARAN QRIS TULISANNYA TRANSAKSI GAGAL,SAYA ULANGIN SAMPE BERKALI KALI TETEP GAGAL HAL HASIL PAS SAYA CEK SALDO SAYA BERKURANG 500 TIDAK ADA RIWAYAT PENGELUARAN UDAH NELPON PIHAK COSTUMER SERVICE CUMA DISURUH NUNGGU NUNGGGU KAN KITA MASIH PUNYA PENGELUARAN LAIN",BCA,bagaimana partikel laku bayar qr code indonesia standard tulis transaksi gagal ulangin sampe kali kali tetep gagal tertawa pas cek saldo kurang tidak_ada riwayat keluar nelpon pihak costumer service suruh nunggu nungu kan punya keluar,negative,0
Pengguna Google,3,2025-12-17 06:01:13,"maaf min aplksi wonder knpa ya pas awal² daftar masih bisa tf tp dengan pin yg berbeda misal pin di kartu atm sekian,di aplksi wonder sekian,awal nya msh bgus msih bisa,stlah krtu atm nya trblokir wktu itu krna lupa pin nya aku dtang lah ke bank bni lalu di benerin lagi,dah tuh alhmdlh bagus lagi,tp pas dftar lgi di aplksi ini di samain lah pin nya sm pin atm tp knpa ga bisa ya min apa yg slah jd mau tf susah slah mulu pin nya pdhal sma kya pin krtu atm,",BNI,maaf min aplksi wonder knpa pas awal2 daftar transfer kode akses beda contoh kode akses kartu sekian aplksi wonder sekian awal nya msh bgus msih stlah krtu nya trblokir tertawa krna lupa kode akses nya dtang partikel bank bank negara indonesia lalu benerin tuh alhmdlh baik pas dftar lgi aplksi samain partikel kode akses nya sama kode akses knpa tidak_dapat min slah jadi transfer sulit slah selalu kode akses nya pdhal sama kya kode akses krtu,neutral,1
Pengguna Google,3,2025-11-24 11:18:16,semenjak ada pembaruan aplikasinya jadi lemot banget,BCA,semenjak baru aplikasi jadi lambat sangat,neutral,1
Pengguna Google,1,2026-02-19 19:20:06,ya allah kapan ya apk nya kembali normal. tolong dong di pulih kan kembali seperti semula,BRI,allah kapan aplikasi nya normal bantu partikel pulih kan mula,negative,0
Pengguna Google,5,2026-02-19 18:07:43,BNI is the best,BNI,bank negara indonesia is the best,positive,2
Pengguna Google,1,2025-09-02 00:30:02,bca tolol uang gw ilang Mulu masa iya tiap bulan dipotong 100 50 alasan pendem.banyak korupsi mending pindah ke bank yg lain lebih amanah .BCA udh ga sehat,BCA,bank central asia tolol uang ilang selalu masa tiap bulan potong alas pendem banyak korupsi mending pindah bank lebih percaya bank central asia tidak_sehat,negative,0
Pengguna Google,1,2025-08-16 11:49:35,Perhari ini Saldo atm kepotong sendiri tanpa potongan dri admin kacau bca nih,BCA,hari saldo potong sendiri potong dri biaya administrasi kacau bank central asia nih,negative,0
Pengguna Google,1,2025-10-05 11:09:01,Cuma ganti device hp saja dan ribetnya minta ampun Pas verifikasi e ktp dan wajah gagal terus dan disuruh datang ke bank nya pula padahal zaman dan era teknologi sudah canggih. Gak kaya bank lain dengan mudah bisa ganti device hp dan verifikasi nya juga mudah.,BCA,ganti device handphone ribetnya minta ampun pas verifikasi e ktp wajah gagal kemudian suruh datang bank nya padahal zaman era teknologi canggih tidak_seperti bank mudah ganti device handphone verifikasi nya mudah,negative,0
Pengguna Google,5,2025-12-21 15:49:52,"sangat mudah diakses, tampilan web nya mudah dipahami",BNI,sangat mudah akses tampil web nya mudah paham,positive,2
Pengguna Google,5,2026-01-29 18:00:50,sangat membantu🥰👍,BNI,sangat bantu,positive,2
Pengguna Google,5,2026-02-12 03:51:21,"wondr gampang banget buat beli paket data,,,terimakasih wondr🙏🏻",BNI,wondr mudah sangat beli paket data terimakasih wondr,positive,2
Pengguna Google,5,2025-10-12 01:31:50,bagusss,BCA,baik,positive,2
Pengguna Google,1,2025-11-23 09:54:23,"mengecewakan nih BCA. transaksi transfer sudah terkirim, uang sudah berkurang uang malah gga masuk ke rekening tujuan. bikin malu aja. se umur hidup gue baru tau, uang udah di transfer cuma saldonya ga masuk ke orang. bikin ribut iya, jadi fitnah iya. kalo ada bintang 0 mah gue kasih 0 nih aplikasi. kacau .. kacau .. kacau.",BCA,kecewa nih bank central asia transaksi transfer kirim uang kurang uang malah gga hasil rekening tuju bikin malu se umur tertawa new tau uang transfer saldo tidak_berhasil orang bikin ribut jadi fitnah bintang mah kasih nih aplikasi kacau kacau kacau,negative,0
Pengguna Google,1,2026-02-09 18:26:53,"setelah sya baca komentar di ulasan ternyata semua kasus sma. blank saat apk di buka, lalu forceclose. apk hrs di clear data baru bsa dibuka, tetapi hrs login verifiksi pakai ktp dan scan wajah, ini terjadi setiap kali mau login. dan kondisi tsb sngat menganggu dan tdk efisien. dari sekian bnyk komentar tdkk ada satupun tindakan perbaikan apk dari pihk brimo. cba di kaji lagi vendor pembuat apk nya, apkh sdh melakukan mitigasi thd eror tersebut. jng smpe BBRI terjun bebas krna trust msyrkt hlg",BRI,abis sya baca komentar ulas nyata semua kasus sama layar putih aplikasi buka lalu forceclose aplikasi hrs clear data new bsa buka hrs login verifiksi pakai ktp scan wajah jadi kali login kondisi tsb sngat menganggu tidak_efisien sekian bnyk komentar tdkk satu tindak baik aplikasi pihk brimo cba kaji vendor buat aplikasi nya apkh laku mitigasi thd error sebut jng smpe bbri terjun bebas krna trust msyrkt hlg,negative,0
Pengguna Google,5,2026-01-09 15:49:33,puas bangtt dengan pelayanan BNI cabang Margonda ini..saya sangat terbantu sekali dan sangat bertemakasihh dgn customer servicenya yg melayanin secara tuntas,BNI,puas bangtt layan bank negara indonesia cabang margonda sangat bantu sangat sangat bertemakasihh customer servicenya melayanin tuntas,positive,2
Pengguna Google,2,2025-11-30 16:43:21,ko lampu nya merah terus ..sedikit sedikit merah ...makin sini makin jelek ..padahal jaringan bagus,BCA,ko lampu nya merah kemudian sedikit sedikit merah makin sini makin buruk padahal jaring baik,negative,0
Pengguna Google,5,2026-02-09 11:48:57,untuk notif keluar masuk uang tidak pernah ada.. sekalinya ada lambat masuk nya.. selebihnya oke.. tolong di perbaiki,BCA,notif keluar hasil uang tidak_pernah sekali lambat hasil nya lebih bagus bantu baik,positive,2
Pengguna Google,5,2026-01-18 06:11:25,sangat simple dan mudah dari aplikasi sebelum nya. mantap,BNI,sangat simple mudah aplikasi nya mantap,positive,2
Pengguna Google,5,2025-09-20 16:50:25,"Akomodasi sangat simple bagi kami dan bca terbaik,mudah cepat tanpa ribet, terimakasih bca mobile.",BCA,akomodasi sangat simple bank central asia baik mudah cepat rumit terimakasih bank central asia mobile,positive,2
Pengguna Google,5,2025-08-29 10:37:52,sangat mebantuk aktifitas sehari-hari terima kasih BCA,BCA,sangat mebantuk aktifitas hari tertawa terima kasih bank central asia,positive,2
Pengguna Google,1,2025-08-14 21:06:34,"lihat berita NM nasabah prioritas tapi data nya di buka begitu saja,, saya jadi takut pake BCA",BCA,lihat berita nm nasabah prioritas data nya buka jadi takut pake bank central asia,negative,0
ridho saputra,1,2025-07-17 12:15:56,aplikasi aneh temen gua login masih dalam proses dari kemaren sore sedangkan gua cepet proses nya,BCA,aplikasi aneh teman login proses kemaren sore cepet proses nya,negative,0
Pengguna Google,5,2026-02-02 08:44:23,"bagus nih skrang, ga perlu ke bank buat buka rekening top deh ku kasih bintang 5",BRI,baik nih skrang tidak_perlu bank buka rekening top partikel ku kasih bintang,positive,2
Pengguna Google,1,2025-10-01 08:24:09,ini kenapa dah kaga bisa transaksi mau liat mutasi cek saldo pun gabisa 😑,BCA,tidak_dapat transaksi liat mutasi rekening cek saldo tidak_bisa,negative,0
Pengguna Google,3,2025-11-27 16:22:30,kenapa habis di update pembayaran VA tidak bisa ?? selalu error mbangking nya,BCA,tertawa baru bayar va tidak_dapat selalu error mbangking nya,neutral,1
Pengguna Google,5,2026-01-14 14:14:22,mantap cepat tepat,BNI,mantap cepat tepat,positive,2
Pengguna Google,5,2026-02-16 07:56:22,bagus tp agak mahall,BRI,baik mahall,positive,2
Pengguna Google,5,2026-02-12 17:53:49,sangat mudah dan simpel menggunakan nya.,BRI,sangat mudah simpel guna nya,positive,2
Pengguna Google,1,2026-02-02 20:43:06,"tiba tiba tidak bisa dibuka apk ini,",BRI,tiba tiba tidak_dapat buka aplikasi,negative,0
Pengguna Google,5,2026-01-23 14:50:15,sangat baik buat transaksi,BRI,sangat bagus transaksi,positive,2
Pengguna Google,1,2026-02-24 21:38:32,makin jelek aplikasi nya... selalu loh out dan harus konfirmasi wajah kalau mau login,BRI,makin buruk aplikasi nya selalu loh out tertawa konfirmasi wajah login,negative,0
Pengguna Google,5,2026-02-04 06:42:40,sangat mudah & luar biasa,BRI,sangat mudah luar biasa,positive,2
Pengguna Google,1,2025-08-15 21:15:43,"pindah bank aja gess,sekelas bca prioritas aja bisa di acak² apalagi aku yang cuman bca biasa😭😭😭😭",BCA,pindah bank gess kelas bank central asia prioritas acak2 cuman bank central asia biasa,negative,0
Pengguna Google,5,2026-01-13 17:21:32,mudah d gunakan dlm bertransfer,BCA,mudah d guna transfer,positive,2
Pengguna Google,4,2025-10-02 06:38:17,sejauh ini good ada bug2 sedikit msi bisa di maklumi.,BCA,jauh good bug2 sedikit maklum,positive,2
Pengguna Google,5,2026-02-02 09:18:59,aplikasi yang mantap,BRI,aplikasi mantap,positive,2
Mufid Fikriabdil,5,2025-07-18 08:47:39,godd,BCA,godd,positive,2
Pengguna Google,5,2026-01-27 11:30:48,layanan yg sangat simpel dan tanpa ribet,BRI,layan sangat simpel rumit,positive,2
Pengguna Google,5,2026-01-31 12:56:01,sangat terbantu dgn adanya aplikasi brimo ini.. trimakasih brimo kirim uang bisa langsung cepat dan gak perlu ribet... brimo the best👍👏👏,BRI,sangat bantu ada aplikasi brimo trimakasih brimo kirim uang segera cepat tidak_perlu rumit brimo the best,positive,2
Pengguna Google,5,2026-01-25 18:41:55,sejauh ini sangat membantu buat saya yang tinggal di daerah pegunungan 🙏,BRI,jauh sangat bantu tinggal daerah gunung,positive,2
Pengguna Google,1,2026-01-08 00:24:18,Tabungan bni multicurency batas promo gratisan nya sampai kapan?,BNI,tabung bank negara indonesia multicurency batas promosi gratis nya kapan,negative,0
Pengguna Google,2,2026-01-01 07:19:26,"Selalu saja gagal balik balik lagi. capek data sudah benar sinyal bagus tapi parah APKNYA. Apalah perlu saya bikon tutorial BNI yg Sekarang Mbangkingnya Ribet, Susah. padahal dulu simpel",BNI,selalu gagal balik balik capek data bener sinyal baik banget apknya apa perlu bikon tutorial bank negara indonesia skrg mbangkingnya rumit sulit padahal lebih simpel,negative,0
Pengguna Google,3,2025-09-29 06:32:30,percuma punya mbanking kalo transaksi aja gabisa di proses,BCA,percuma punya mobile banking transaksi tidak_bisa proses,neutral,1
Pengguna Google,2,2025-12-07 00:25:33,"kenapa setelah update apk makin lemot ajh, ini BCA mencewakan padahal ini bank swasta kok gini mau pada pindah ke BUMN kah?",BCA,abis baru aplikasi makin lambat ajh bank central asia mencewakan padahal bank swasta gin pindah bumn,negative,0
Pengguna Google,1,2025-08-04 15:18:54,ini gimana min? barusan bayar pake qris bacaannya transaksi gagal terus kaga masuk tapi saldo kepotong,BCA,bagaimana min barusan bayar pake qr code indonesia standard baca transaksi gagal kemudian tidak_berhasil saldo potong,negative,0
Rak Konek,5,2026-01-21 07:22:55,proses cepat mantap lha,BRI,proses cepat mantap lha,positive,2
Pengguna Google,1,2026-01-25 23:50:39,parahhhhh,BNI,banget,negative,0
Pengguna Google,1,2026-01-19 09:32:43,bca tolol gua mau daftar susah amat gua udah brapa kali beli pulsa abis trus gara2 ada masalah mulu di pesan nya,BCA,bank central asia tolol daftar sulit brapa kali beli pulsa habis kemudian gara2 kendala selalu pesan nya,negative,0
Pengguna Google,5,2025-09-29 08:01:25,bantu pembayaran digital,BCA,bayar digital,positive,2
Pengguna Google,4,2025-10-21 09:11:56,mantap sangat membantu Skali👍,BCA,mantap sangat bantu skali,positive,2
Pengguna Google,3,2026-01-08 20:55:59,"saya pengguna baru apk wondr, bulan lalu saya pertama transaksi multifinance dengan tujuan BNI finance dan berhasil, tapi hari ini mau buka BNI finance, tak muncul di apk wondr ini membingungkan saya kok bisa apk BNI tetapi tak mencakup unit usaha finansial milik BNI sendiri...",BNI,guna new aplikasi wondr bulan lalu pertama transaksi multifinance tuju bank negara indonesia finance sukses tertawa buka bank negara indonesia finance tidak_muncul aplikasi wondr bingung aplikasi bank negara indonesia tidak_mencakup unit usaha finansial milik bank negara indonesia sendiri,neutral,1
Pengguna Google,5,2026-02-11 09:25:14,sangat memuaskan pelayanannya,BRI,sangat muas layan,positive,2
Pengguna Google,4,2026-02-15 16:20:15,"setelah update kok jadi lambat loginnya, padahal jaringannya lagi bagus",BRI,abis baru jadi lambat loginnya padahal jaring baik,positive,2
Pengguna Google,2,2026-01-17 16:41:26,"parah, stak mulu",BNI,banget stak selalu,negative,0
Pengguna Google,1,2026-01-25 10:34:08,kok nggak bisa di buka,BNI,tidak_dapat buka,negative,0
Pengguna Google,3,2025-11-20 07:44:34,"ini gimana, kok lampu indikator gak hijau? biasanya cepet, lagi eror apa gimana?",BCA,bagaimana lampu indikator tidak_tertawa biasa cepet error bagaimana,neutral,1
Pengguna Google,1,2026-02-05 19:11:40,verivikasi foto ktp gagal terus...,BRI,verivikasi foto ktp gagal kemudian,negative,0
Pengguna Google,1,2025-12-23 10:22:47,makin di update makin lelet,BCA,makin baru makin lambat,negative,0
Pengguna Google,1,2025-09-14 01:37:51,vermuk susah amat,BCA,verifikasi wajah sulit,negative,0
Pengguna Google,1,2025-08-15 08:53:48,"Data pribadi gak aman, contoh nya Nikita Mirzani yang prioritas aja bocor aplgi yg xpresi",BCA,data pribadi tidak_aman misal nya nikita mirzani prioritas bocor aplgi xpresi,negative,0
Pengguna Google,1,2026-02-13 12:40:43,EDC Potongan lama lama makin gede menjerit umkm broooo 150.000 potongan nya 6000 busettt dahhhh,BCA,edc potong lambat lambat makin gede jerit umkm bro potong nya buset,negative,0
Pengguna Google,5,2026-02-02 18:07:14,Mudah digunakan dan praktis,BRI,mudah guna praktis,positive,2
Pengguna Google,1,2025-08-15 07:23:06,bank tukang obrak abrik data nasabah ga aman,BCA,bank tukang obrak abrik data nasabah tidak_aman,negative,0
Pengguna Google,5,2026-02-07 15:10:54,Mohon Di permudah verifikasinya,BRI,mohon mudah verifikasi,positive,2
Pengguna Google,5,2025-09-13 06:46:51,mempermudah bertransaksi limit 0 % pokonya BCA bikin lancar bertransaksi,BCA,mudah transaksi batas transaksi poko bank central asia bikin lancar transaksi,positive,2
Pengguna Google,5,2026-02-01 03:53:06,"versi sebelumnya 2.92 tidak bisa di buka cuman muncul layar putih dan ternyata juga banyak yang mengalami hal yang sama, sekarang setelah brimo update terbaru ke versi 2.93 sudah bisa di buka lagi, Terimakasih BRimo telah melakukan perbaikan aplikasi nya",BRI,version belum tidak_dapat buka cuman muncul layar putih nyata banyak alami sama skrg abis brimo baru latest version buka terimakasih brimo laku baik aplikasi nya,positive,2
Pengguna Google,2,2026-01-24 21:03:51,sering error gak bisa transaksi atau dibuka.. parah sih,BCA,sering error tidak_dapat transaksi buka banget partikel,negative,0
Pengguna Google,1,2026-01-27 11:27:30,"pertama kali buka rekening simpedes, rekening & kartu atm udah jadi, tinggal login apk brimo malah gak bisa nerima kode OTP buat login. padahal username + password udah bener, nmr telpon udah bener, pulsa juga masih ada 5rb. aplikasi payah👎 bintang 1 pun gak pantas, kalo bisa bintang 0 udh gw kasih",BRI,pertama kali buka rekening simpedes rekening kartu jadi tinggal login aplikasi brimo malah tidak_dapat nerima kode kode verifikasi login padahal username password benar nmr telepon benar pulsa 5rb aplikasi payah bintang tidak_pantas bintang kasih,negative,0
Pengguna Google,2,2025-11-28 18:44:22,kok jadi lemot ya versi terbaru November 2025,BCA,jadi lambat version latest november,negative,0
Fitri Annisa,1,2026-01-19 17:31:22,"aplikasi setelah verifikasi cuma bisa dibuka 3x, selanjutnya blank lagi dan harus verifikasi dari awal lagi..ribet bgt tolong segera diperbaiki, sebelum thn baru bagus bagus aja padahal",BRI,aplikasi abis verifikasi buka 3x lanjut layar putih tertawa verifikasi awal rumit sangat bantu cepat baik thn new baik baik padahal,negative,0
Pengguna Google,5,2025-08-19 10:21:45,Ok 👍💯🙏,BCA,baik,positive,2
Pengguna Google,4,2026-02-17 21:13:02,"brimo saya nggak bisa dibuka selalu ngeblank, mohon solusinya terimakasih",BRI,brimo tidak_dapat buka selalu layar putih mohon solusi terimakasih,positive,2
Pengguna Google,1,2025-11-10 22:26:10,lag,BCA,lag,negative,0
Pengguna Google,5,2025-12-30 10:30:25,the best 👍👍,BNI,the best,positive,2
Pengguna Google,5,2026-02-05 17:55:24,kalau Qris proses terus saldo terpotong pasti lama banget nngguin nya pdahal uang sisa segitu di pending trus kenapa gak di gagalin aja di balikin lagi saldo nya,BRI,qr code indonesia standard proses kemudian saldo potong lambat sangat nngguin nya pdahal uang sisa segitu pending kemudian tidak_di gagalin balikin saldo nya,positive,2
Pengguna Google,1,2026-02-25 11:30:20,"ngirim duit eror, tapi notif promo bunyi terus, perbaiki lah.!",BRI,ngirim duit error notif promosi bunyi kemudian baik partikel,negative,0
Pengguna Google,5,2026-02-02 22:48:40,aku suka aplikasinya 👍👍,BRI,suka aplikasi,positive,2
Pengguna Google,1,2026-02-03 23:13:44,"kenapa BNI suka gangguan kalau tengah malam, tolong lah di perbaiki. gimana sih, masa sekelas BUMN seperti itu pengembangan aplikasi nya.",BNI,bank negara indonesia suka kendala teknis tengah malam bantu partikel baik bagaimana partikel masa kelas bumn kembang aplikasi nya,negative,0
Pengguna Google,5,2026-02-25 07:49:10,25/02/26 lemoooooooooooootttttt...super lemottt,BNI,lambat super lambat,positive,2
Yasfiroh Ainiah,3,2025-07-30 11:46:28,"kok tambah repot ya, ngaktifkan mbangking susah amat, di buat foto wajah gagal terus padahal lampu sudah terang.. tolong di Perbaiki ya, biar gampang aktif kan mbangkingnya..",BCA,tambah repot ngaktifkan mbangking sulit foto wajah gagal kemudian padahal lampu terang bantu baik biar mudah online kan mbangkingnya,neutral,1
Pengguna Google,3,2025-09-29 08:15:02,sekarang lemot dan sering error,BCA,skrg lambat sering error,neutral,1
Rifky Kurniawan,2,2025-12-16 08:13:35,sering bermasalah susah terbuka,BNI,sering masalah sulit buka,negative,0
Pengguna Google,1,2025-09-04 16:02:38,"sangat lelet, padhal sinyal bagus",BCA,sangat lambat padhal sinyal baik,negative,0
Fadil Bastians,1,2025-07-22 10:17:45,"nge update2 mulu ngabisin paket data aja nih bca mobile, mana pas di update lama banget lg loading nya hedeh",BCA,nge update2 selalu ngabisin paket data nih bank central asia mobile mana pas baru lambat sangat loading nya tertawa,negative,0
Pengguna Google,2,2026-02-12 22:23:44,"kadang suka erorr, tolong diperbaiki erorr nya soale ini bank besar",BNI,kadang suka erorr bantu baik erorr nya soale bank besar,negative,0
Pengguna Google,1,2025-08-15 09:10:36,kerahasian data pribadi tidak aman,BCA,kerahasian data pribadi tidak_aman,negative,0
Pengguna Google,5,2026-02-08 21:36:50,sangat membantu dan mudah dalam penggunanya untuk saat ini,BNI,sangat bantu mudah guna,positive,2
Pengguna Google,2,2026-02-20 15:59:19,stuck. tidak bisa login. buruk,BNI,stuck tidak_dapat login jelek,negative,0
Pengguna Google,4,2026-02-04 08:19:00,"selama ini bagus, tapi waktu mau login tiba2 ga bisa masuk,, dengan tulisan "" kamu sudah mencapai limit harian silahkan coba lagi besok atau apalah saya juga lupa,, pdhal baru pagi ini mau coba login",BRI,lama baik waktu login tiba2 tidak_dapat hasil tulis kamu capai batas transaksi tertawa silah coba besok apa lupa pdhal new pagi coba login,positive,2
Pengguna Google,4,2026-02-03 15:03:37,sangat membantu. dan aku udah 3th ini pakai jarang dapat kendala/gangguan selain koneksi signal.,BRI,sangat bantu 3th pakai jarang masalah kendala teknis koneksi signal,positive,2
Pengguna Google,1,2026-02-24 21:26:29,"tiap mau transaksi harus login ulang pake ktp. selamat menikmati keamanan yg merepotkan, maaf saya terpaksa mengalihkan semua dana saya ke bank lain 🙇‍♂️",BRI,tiap transaksi tertawa login ulang pake ktp selamat nikmat aman repot maaf paksa alih semua dana bank,negative,0
Pengguna Google,4,2026-01-02 06:00:55,kenapa ini wondr tiba² laporan mutasi transaksi ko bisa ndak keliatan,BNI,wondr tiba2 lapor mutasi rekening transaksi ko tidak_keliatan,positive,2
Pengguna Google,1,2026-02-19 15:25:23,setiap masuk di ulang KTP terus,BRI,hasil ulang ktp kemudian,negative,0
Pengguna Google,5,2026-02-05 01:00:08,Perfect..🙏👍👍👍,BRI,perfect,positive,2
Pengguna Google,1,2025-12-17 23:15:06,"gila bca parah sekarang.. tranfer via qris tranfer gagal tapi saldo terpotong, harus nunggu 20 hari kerja, ehh ujung nya duit ga balik lagi, udah beberapa kali ngalamin kaya gini.. pindah bank aja udah ga bnr bca",BCA,gila bank central asia banget skrg tranfer via qr code indonesia standard tranfer gagal saldo potong tertawa nunggu tertawa kerja ehh ujung nya duit tidak_balik beberapa kali ngalamin gin pindah bank tidak_bnr bank central asia,negative,0
Pengguna Google,5,2025-08-01 17:55:17,sippp,BCA,bagus,positive,2
Pengguna Google,1,2025-09-29 08:05:17,bukannya memudahkan malah bikin emosi ajja . perbaiki dong bcaaa yaampunn pusing bgt pake bca pdhal biasanya lancar . di update malah gabisa but apa apa . sinyal stabil buka bca merah terus pdahal buat buka apkikasi lain lancar,BCA,bukan mudah malah bikin emosi ajja baik partikel bank central asia yaampunn pusing sangat pake bank central asia pdhal biasa lancar baru malah tidak_bisa but sinyal stabil buka bank central asia merah kemudian pdahal buka apkikasi lancar,negative,0
Pengguna Google,5,2026-02-05 18:23:14,"cepat dan praktis,aman terimakasih brimo",BRI,cepat praktis aman terimakasih brimo,positive,2
Pengguna Google,1,2026-01-04 18:32:13,aplikasi gajelas verifikasi wajah gagal mulu,BNI,aplikasi gajelas verifikasi wajah gagal selalu,negative,0
Pengguna Google,5,2026-01-11 12:07:27,Efective dan Selalu Berinovasi,BNI,efective selalu inovasi,positive,2
Pengguna Google,1,2025-08-31 20:31:37,saya sudah membeli pulsa dan transfer di mbanking BCA. saldo terpotong dan pulsa tidak masuk serta tidak ada pesan pemberithuan transaksi berhasil tapi saldo sudah terpotong ini aneh. dan saya sangat kecewa,BCA,beli pulsa transfer mobile banking bank central asia saldo potong pulsa tidak_berhasil tidak_ada pesan pemberithuan transaksi sukses saldo potong aneh sangat kecewa,negative,0
Pengguna Google,1,2026-01-06 09:02:43,ini kepana bca mobile notif 205 sementara transaksi tidak dapat diproses??,BCA,pana bank central asia mobile notif transaksi tidak_dapat proses,negative,0
Pengguna Google,5,2025-12-24 08:22:48,respons cepat ...mudah dan aman,BNI,respons cepat mudah aman,positive,2
Pengguna Google,1,2025-09-03 07:00:36,"mau daftar kok susah banget, padahal pulsa + internet udah lancar tapi buat dapetin kode otp kok ga muncul' tolong dong BCA ini gimana sih",BCA,daftar sulit sangat padahal pulsa internet lancar dapetin kode kode verifikasi tidak_muncul bantu partikel bank central asia bagaimana partikel,negative,0
Pengguna Google,3,2026-02-23 10:02:09,"sangat baguss, lebih praktis tapi yah buka brimo harus ada paket dluu🤐🤐😭",BRI,sangat baguss lebih praktis yah buka brimo tertawa paket dluu,neutral,1
Pengguna Google,2,2026-02-10 09:32:18,kenapa BRI mo sudah tidak bisa di buka lagi..ketika ingin masuk langsung timbul layar putih terus langsung kembali lagi,BRI,bank rakyat indonesia tidak_dapat buka hasil segera timbul layar putih kemudian segera,negative,0
Pengguna Google,1,2025-08-15 00:50:39,kacau kacau BCA gak ada lagi privasi,BCA,kacau kacau bank central asia tidak_ada privasi,negative,0
